chart_week|title|performer|peak_pos|wks_on_chart
2007-11-10|Kiss Kiss|Chris Brown Featuring T-Pain|1|7
2007-12-01|No One|Alicia Keys|1|11
2008-01-05|Low|Flo Rida Featuring T-Pain|1|9
2008-03-15|Love In This Club|Usher Featuring Young Jeezy|1|3
2008-04-05|Bleeding Love|Leona Lewis|1|6
2008-04-12|Touch My Body|Mariah Carey|1|7
2008-05-03|Lollipop|Lil Wayne Featuring Static Major|1|6
2008-05-24|Take A Bow|Rihanna|1|5
2008-06-28|Viva La Vida|Coldplay|1|6
2008-07-05|I Kissed A Girl|Katy Perry|1|7
2008-08-23|Disturbia|Rihanna|1|8
2008-09-06|Whatever You Like|T.I.|1|3
2008-09-27|So What|P!nk|1|4
2008-10-18|Live Your Life|T.I. Featuring Rihanna|1|2
2008-10-25|Womanizer|Britney Spears|1|2
2008-12-13|Single Ladies (Put A Ring On It)|Beyonce|1|7
2009-01-17|Just Dance|Lady Gaga Featuring Colby O'Donis|1|22
2009-02-07|My Life Would Suck Without You|Kelly Clarkson|1|2
2009-02-21|Crack A Bottle|Eminem, Dr. Dre & 50 Cent|1|4
2009-02-28|Right Round|Flo Rida|1|3
2009-04-11|Poker Face|Lady Gaga|1|15
2009-04-18|Boom Boom Pow|The Black Eyed Peas|1|4
2009-07-11|I Gotta Feeling|The Black Eyed Peas|1|3
2009-10-17|Down|Jay Sean Featuring Lil Wayne|1|14
2009-10-24|3|Britney Spears|1|1
2009-11-07|Fireflies|Owl City|1|10
2009-11-14|Whatcha Say|Jason Derulo|1|12
2009-11-28|Empire State Of Mind|Jay-Z + Alicia Keys|1|10
2010-01-02|TiK ToK|Ke$ha|1|11
2010-03-06|Imma Be|The Black Eyed Peas|1|12
2010-03-20|Break Your Heart|Taio Cruz Featuring Ludacris|1|2
2010-03-27|Rude Boy|Rihanna|1|5
2010-05-01|Nothin' On You|B.o.B Featuring Bruno Mars|1|12
2010-05-15|OMG|Usher Featuring will.i.am|1|5
2010-05-22|Not Afraid|Eminem|1|1
2010-06-19|California Gurls|Katy Perry Featuring Snoop Dogg|1|4
2010-07-31|Love The Way You Lie|Eminem Featuring Rihanna|1|4
2010-09-18|Teenage Dream|Katy Perry|1|7
2010-10-02|Just The Way You Are|Bruno Mars|1|9
2010-10-30|Like A G6|Far*East Movement Featuring Cataracs & Dev|1|10
2010-11-13|We R Who We R|Ke$ha|1|1
2010-11-20|What's My Name?|Rihanna Featuring Drake|1|3
2010-12-04|Only Girl (In The World)|Rihanna|1|11
2010-12-11|Raise Your Glass|P!nk|1|8
2010-12-18|Firework|Katy Perry|1|7
2011-01-08|Grenade|Bruno Mars|1|13
2011-01-29|Hold It Against Me|Britney Spears|1|1
2011-02-19|Black And Yellow|Wiz Khalifa|1|18
2011-02-26|Born This Way|Lady Gaga|1|1
2011-04-09|E.T.|Katy Perry Featuring Kanye West|1|7
2011-04-30|S&M|Rihanna Featuring Britney Spears|1|14
2011-05-21|Rolling In The Deep|Adele|1|18
2011-07-09|Give Me Everything|Pitbull Featuring Ne-Yo, Afrojack & Nayer|1|13
2011-07-16|Party Rock Anthem|LMFAO Featuring Lauren Bennett & GoonRock|1|15
2011-08-27|Last Friday Night (T.G.I.F.)|Katy Perry|1|12
2011-09-10|Moves Like Jagger|Maroon 5 Featuring Christina Aguilera|1|10
2011-09-17|Someone Like You|Adele|1|9
2011-11-12|We Found Love|Rihanna Featuring Calvin Harris|1|6
2012-01-07|Sexy And I Know It|LMFAO|1|17
2012-02-04|Set Fire To The Rain|Adele|1|21
2012-02-18|Stronger (What Doesn't Kill You)|Kelly Clarkson|1|7
2012-03-03|Part Of Me|Katy Perry|1|1
2012-03-17|We Are Young|fun. Featuring Janelle Monae|1|11
2012-04-28|Somebody That I Used To Know|Gotye Featuring Kimbra|1|15
2012-06-23|Call Me Maybe|Carly Rae Jepsen|1|16
2012-08-25|Whistle|Flo Rida|1|13
2012-09-01|We Are Never Ever Getting Back Together|Taylor Swift|1|2
2012-09-29|One More Night|Maroon 5|1|13
2012-12-01|Diamonds|Rihanna|1|8
2012-12-22|Locked Out Of Heaven|Bruno Mars|1|10
2013-02-02|Thrift Shop|Macklemore & Ryan Lewis Featuring Wanz|1|16
2013-03-02|Harlem Shake|Baauer|1|1
2013-04-20|When I Was Your Man|Bruno Mars|1|16
2013-04-27|Just Give Me A Reason|P!nk Featuring Nate Ruess|1|9
2013-05-18|Can't Hold Us|Macklemore & Ryan Lewis Featuring Ray Dalton|1|13
2013-06-22|Blurred Lines|Robin Thicke Featuring T.I. + Pharrell|1|8
2013-09-14|Roar|Katy Perry|1|4
2013-09-28|Wrecking Ball|Miley Cyrus|1|4
2013-10-12|Royals|Lorde|1|13
2013-12-21|The Monster|Eminem Featuring Rihanna|1|6
2014-01-18|Timber|Pitbull Featuring Ke$ha|1|13
2014-02-08|Dark Horse|Katy Perry Featuring Juicy J|1|19
2014-03-08|Happy|Pharrell Williams|1|8
2014-05-17|All Of Me|John Legend|1|30
2014-06-07|Fancy|Iggy Azalea Featuring Charli XCX|1|12
2014-07-26|Rude|MAGIC!|1|12
2014-09-06|Shake It Off|Taylor Swift|1|1
2014-09-20|All About That Bass|Meghan Trainor|1|9
2014-11-29|Blank Space|Taylor Swift|1|3
2015-01-17|Uptown Funk!|Mark Ronson Featuring Bruno Mars|1|8
2015-04-25|See You Again|Wiz Khalifa Featuring Charlie Puth|1|5
2015-06-06|Bad Blood|Taylor Swift Featuring Kendrick Lamar|1|4
2015-07-25|Cheerleader|OMI|1|12
2015-08-22|Can't Feel My Face|The Weeknd|1|9
2015-09-19|What Do You Mean?|Justin Bieber|1|1
2015-10-03|The Hills|The Weeknd|1|17
2015-11-14|Hello|Adele|1|1
2016-01-23|Sorry|Justin Bieber|1|11
2016-02-13|Love Yourself|Justin Bieber|1|11
2016-02-20|Pillowtalk|Zayn|1|1
2016-03-05|Work|Rihanna Featuring Drake|1|4
2016-05-07|Panda|Desiigner|1|9
2016-05-21|One Dance|Drake Featuring WizKid & Kyla|1|5
2016-05-28|Can't Stop The Feeling!|Justin Timberlake|1|1
2016-08-06|Cheap Thrills|Sia Featuring Sean Paul|1|23
2016-09-03|Closer|The Chainsmokers Featuring Halsey|1|3
2016-11-26|Black Beatles|Rae Sremmurd Featuring Gucci Mane|1|9
2017-01-07|Starboy|The Weeknd Featuring Daft Punk|1|14
2017-01-21|Bad And Boujee|Migos Featuring Lil Uzi Vert|1|8
2017-01-28|Shape Of You|Ed Sheeran|1|1
2017-05-06|Humble.|Kendrick Lamar|1|3
2017-05-13|That's What I Like|Bruno Mars|1|15
2017-05-20|I'm The One|DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne|1|1
2017-05-27|Despacito|Luis Fonsi & Daddy Yankee Featuring Justin Bieber|1|17
2017-09-16|Look What You Made Me Do|Taylor Swift|1|2
2017-10-07|Bodak Yellow (Money Moves)|Cardi B|1|12
2017-10-28|Rockstar|Post Malone Featuring 21 Savage|1|4
2017-12-23|Perfect|Ed Sheeran|1|15
2018-01-27|Havana|Camila Cabello Featuring Young Thug|1|23
2018-02-03|God's Plan|Drake|1|1
2018-04-21|Nice For What|Drake|1|1
2018-05-19|This Is America|Childish Gambino|1|1
2018-06-16|Psycho|Post Malone Featuring Ty Dolla $ign|1|15
2018-06-30|Sad!|XXXTENTACION|1|16
2018-07-07|I Like It|Cardi B, Bad Bunny & J Balvin|1|12
2018-07-21|In My Feelings|Drake|1|2
2018-09-29|Girls Like You|Maroon 5 Featuring Cardi B|1|17
2018-11-17|Thank U, Next|Ariana Grande|1|1
2018-12-08|Sicko Mode|Travis Scott|1|17
2019-01-12|Without Me|Halsey|1|13
2019-01-19|Sunflower (Spider-Man: Into The Spider-Verse)|Post Malone & Swae Lee|1|12
2019-02-02|7 Rings|Ariana Grande|1|1
2019-03-09|Shallow|Lady Gaga & Bradley Cooper|1|22
2019-03-16|Sucker|Jonas Brothers|1|1
2019-04-13|Old Town Road|Lil Nas X Featuring Billy Ray Cyrus|1|5
2019-08-24|Bad Guy|Billie Eilish|1|20
2019-08-31|Senorita|Shawn Mendes & Camila Cabello|1|9
2019-09-07|Truth Hurts|Lizzo|1|17
2019-10-19|HIGHEST IN THE ROOM|Travis Scott|1|1
2019-11-02|Someone You Loved|Lewis Capaldi|1|24
2019-11-09|Lose You To Love Me|Selena Gomez|1|2
2019-11-30|Circles|Post Malone|1|12
2019-12-14|Heartless|The Weeknd|1|2
2020-01-18|The Box|Roddy Ricch|1|5
2020-04-04|Blinding Lights|The Weeknd|1|17
2020-04-18|Toosie Slide|Drake|1|1
2020-05-09|The Scotts|THE SCOTTS, Travis Scott & Kid Cudi|1|1
2020-05-16|Say So|Doja Cat Featuring Nicki Minaj|1|18
2020-05-23|Stuck With U|Ariana Grande & Justin Bieber|1|1
2020-05-30|Savage|Megan Thee Stallion|1|10
2020-06-06|Rain On Me|Lady Gaga & Ariana Grande|1|1
2020-06-13|Rockstar|DaBaby Featuring Roddy Ricch|1|7
2020-06-27|Trollz|6ix9ine & Nicki Minaj|1|1
2020-08-08|Cardigan|Taylor Swift|1|1
2020-08-15|Watermelon Sugar|Harry Styles|1|20
2020-08-22|WAP|Cardi B Featuring Megan Thee Stallion|1|1
2020-09-05|Dynamite|BTS|1|1
2020-10-10|Franchise|Travis Scott Featuring Young Thug & M.I.A.|1|1
2020-10-17|Savage Love (Laxed - Siren Beat)|Jawsh 685 x Jason Derulo|1|17
2020-10-24|Mood|24kGoldn Featuring iann dior|1|10
2020-11-07|Positions|Ariana Grande|1|1
2020-12-05|Life Goes On|BTS|1|1
2020-12-26|Willow|Taylor Swift|1|1
2021-01-23|Drivers License|Olivia Rodrigo|1|1
2021-03-20|What's Next|Drake|1|1
2021-03-27|Up|Cardi B|1|6
2021-04-03|Peaches|Justin Bieber Featuring Daniel Caesar & Giveon|1|1
2021-04-10|Montero (Call Me By Your Name)|Lil Nas X|1|1
2021-04-17|Leave The Door Open|Silk Sonic (Bruno Mars & Anderson .Paak)|1|5
2021-04-24|Rapstar|Polo G|1|1
2021-05-08|Save Your Tears|The Weeknd & Ariana Grande|1|20
2021-05-29|Good 4 U|Olivia Rodrigo|1|1
2021-06-05|Butter|BTS|1|1
2021-07-24|Permission To Dance|BTS|1|1
2021-08-14|Stay|The Kid LAROI & Justin Bieber|1|4
2021-09-18|Way 2 Sexy|Drake Featuring Future & Young Thug|1|1
2021-10-09|My Universe|Coldplay x BTS|1|1
2021-10-23|Industry Baby|Lil Nas X & Jack Harlow|1|12
2021-11-27|All Too Well (Taylor's Version)|Taylor Swift|1|1
2022-01-01|All I Want For Christmas Is You|Mariah Carey|1|50
2022-01-15|Easy On Me|Adele|1|13
2022-02-05|We Don't Talk About Bruno|Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast|1|5
2022-03-12|Heat Waves|Glass Animals|1|59
2022-04-16|As It Was|Harry Styles|1|1
2022-04-23|First Class|Jack Harlow|1|1
2022-05-14|Wait For U|Future Featuring Drake & Tems|1|1
2022-07-02|Jimmy Cooks|Drake Featuring 21 Savage|1|1
2022-07-30|About Damn Time|Lizzo|1|14
2022-08-13|Break My Soul|Beyonce|1|7
2022-08-27|Super Freaky Girl|Nicki Minaj|1|1
2022-10-08|Bad Habit|Steve Lacy|1|13
2022-10-29|Unholy|Sam Smith & Kim Petras|1|4
2022-11-05|Anti-Hero|Taylor Swift|1|1
2023-01-28|Flowers|Miley Cyrus|1|1
2023-03-11|Die For You|The Weeknd & Ariana Grande|1|31
2023-03-18|Last Night|Morgan Wallen|1|6
2023-04-08|Like Crazy|Jimin|1|1
2023-04-29|Kill Bill|SZA|1|19
2023-07-15|Vampire|Olivia Rodrigo|1|1
2023-07-29|Seven|Jung Kook Featuring Latto|1|1
2023-08-05|Try That In A Small Town|Jason Aldean|1|2
2023-08-26|Rich Men North Of Richmond|Oliver Anthony Music|1|1
2023-09-09|I Remember Everything|Zach Bryan Featuring Kacey Musgraves|1|1
2023-09-16|Paint The Town Red|Doja Cat|1|5
2023-09-30|Slime You Out|Drake Featuring SZA|1|1
2023-10-21|First Person Shooter|Drake Featuring J. Cole|1|1
2023-10-28|Cruel Summer|Taylor Swift|1|24
2023-11-11|Is It Over Now? (Taylor's Version) [From The Vault]|Taylor Swift|1|1
2023-12-02|Lovin On Me|Jack Harlow|1|2
2023-12-09|Rockin' Around The Christmas Tree|Brenda Lee|1|54
2024-01-27|Yes, And?|Ariana Grande|1|1
2024-02-10|Hiss|Megan Thee Stallion|1|1
2024-03-02|Texas Hold 'Em|Beyonce|1|2
2024-03-16|Carnival|¥$: Kanye West & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti|1|4
2024-03-23|We Can't Be Friends (Wait For Your Love)|Ariana Grande|1|1
2024-03-30|Lose Control|Teddy Swims|1|32
2024-04-06|Like That|Future, Metro Boomin & Kendrick Lamar|1|1
2024-04-27|Too Sweet|Hozier|1|4
2024-05-04|Fortnight|Taylor Swift Featuring Post Malone|1|1
2024-05-18|Not Like Us|Kendrick Lamar|1|1
2024-05-25|I Had Some Help|Post Malone Featuring Morgan Wallen|1|1
2024-06-29|Please Please Please|Sabrina Carpenter|1|2
2024-07-13|A Bar Song (Tipsy)|Shaboozey|1|12
2024-11-02|Love Somebody|Morgan Wallen|1|1
2024-12-07|Squabble Up|Kendrick Lamar|1|1
2025-01-11|Die With A Smile|Lady Gaga & Bruno Mars|1|20
2025-02-08|4X4|Travis Scott|1|1
2025-03-01|Luther|Kendrick Lamar & SZA|1|13
2025-05-31|What I Want|Morgan Wallen Featuring Tate McRae|1|1
2025-06-07|Ordinary|Alex Warren|1|16
2025-06-21|Manchild|Sabrina Carpenter|1|1
2025-08-16|Golden|HUNTR/X: EJAE, Audrey Nuna & REI AMI|1|7
2025-10-18|The Fate Of Ophelia|Taylor Swift|1|1
2026-01-24|I Just Might|Bruno Mars|1|1
2026-02-07|Aperture|Harry Styles|1|1
2026-02-14|Choosin' Texas|Ella Langley|1|16
2026-02-21|DTMF|Bad Bunny|1|22
2026-02-28|Opalite|Taylor Swift|1|20
2026-04-04|Swim|BTS|1|1
